COMP;REGIAO;UF;MUNICIPIO;NOME_ESTABELECIMENTO;RAZAO_SOCIAL;DS_TIPO_UNIDADE;DESC_NATUREZA_JURIDICA;NO_LOGRADOURO;NU_ENDERECO;NO_BAIRRO;CO_CEP;LEITOS_EXISTENTES;LEITOS_SUS;UTI_TOTAL_EXIST;UTI_TOTAL_SUS;UTI_ADULTO_EXIST;UTI_ADULTO_SUS;UTI_PEDIATRICO_EXIST;UTI_PEDIATRICO_SUS;UTI_NEONATAL_EXIST;UTI_NEONATAL_SUS;UTI_QUEIMADO_EXIST;UTI_QUEIMADO_SUS;UTI_CORONARIANA_EXIST;UTI_CORONARIANA_SUS;ZONA
202301;SUDESTE;SP;SAO PAULO;HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL I SP;SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÃBLICO;RUA CONEGO XAVIER;276;SACOMA;04231030;290;290;24;24;24;24;0;0;0;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;CAISM DR DAVID CAPISTRANO DA COSTA FILHO DA AGUA FUNDA SP;SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO;HOSPITAL ESPECIALIZADO;HOSPITAL_PÃBLICO;AVENIDA MIGUEL STEFANO;3030;AGUA FUNDA;04301002;121;121;0;0;0;0;0;0;0;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO;SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO;HOSPITAL ESPECIALIZADO;HOSPITAL_PÃBLICO;RUA DR SERAFICO DE ASSIS CARVALHO;34;JARDIM GUEDALA;04024002;122;122;14;14;0;0;9;9;5;5;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;HC DA FMUSP INSTITUTO DO CORACAO INCOR SAO PAULO;FUNDACAO ZERBINI;HOSPITAL ESPECIALIZADO;HOSPITAL_FILANTRÃPICO;AVENIDA DR ENEAS DE CARVALHO AGUIAR;44;CERQUEIRA CESAR;05403000;445;390;145;145;119;119;23;23;3;3;0;0;0;0;Zona Oeste
202301;SUDESTE;SP;SAO PAULO;HOSP MUN MATERNIDADE PROFESSOR MARIO DEGNI;PREFEITURA DO MUNICIPIO DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÃBLICO;RUA LUCAS DE LEYDE;257;VILA ANTONIO;05376010;73;62;16;9;10;4;0;0;6;5;0;0;0;0;Zona Oeste
202301;SUDESTE;SP;SAO PAULO;HOSP DA STA CASA DE STO AMARO;SANTA CASA DE MISERICORDIA DE SANTO AMARO;HOSPITAL GERAL;HOSPITAL_FILANTRÃPICO;RUA ISABEL SCHMIDT;59;SANTO AMARO;04743030;134;91;10;9;10;9;0;0;0;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;HOSPITAL SAO LUIZ GONZAGA;IRMANDADE DA SANTA CASA DE MISERICORDIA DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_FILANTRÃPICO;MICHEL OUCHANA;94;JACANA;02276140;171;157;6;0;0;0;0;0;6;0;0;0;0;0;Zona Norte
202301;SUDESTE;SP;SAO PAULO;HOSPITAL UNIVERSITARIO DA USP SAO PAULO;HOSPITAL UNIVERSITARIO DA UNIVERSIDADE DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÃBLICO;AV PROF LINEU PRESTES;2565;BUTANTA;05580000;206;206;28;28;12;12;10;10;6;6;0;0;0;0;Zona Oeste
202301;SUDESTE;SP;SAO PAULO;HOSPITAL OSWALDO CRUZ;HOSPITAL ALEMAO OSWALDO CRUZ;HOSPITAL GERAL;HOSPITAL_FILANTRÃPICO;RUA JOAO JULIAO;331;PARAISO;01323020;350;0;44;0;44;0;0;0;0;0;0;0;0;0;Centro
202301;SUDESTE;SP;SAO PAULO;CASA DA CRIANCA BETINHO;CASA DA CRIANCA BETINHO LAR ESPIRITA P EXCEPCIONAIS;HOSPITAL GERAL;HOSPITAL_FILANTRÃPICO;RUA VACANGA;300;VIL CARRAO;03433020;89;89;0;0;0;0;0;0;0;0;0;0;0;0;Zona Leste
202301;SUDESTE;SP;SAO PAULO;HOSPITAL AMPARO MATERNAL;SPDM PAIS HOSPITAL AMPARO MATERNAL;HOSPITAL ESPECIALIZADO;HOSPITAL_FILANTRÃPICO;RUA LOEFGREEN;1901;V CLEMENTINO;04040032;110;105;10;10;0;0;0;0;10;10;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;CAISM PHILIPPE PINEL SAO PAULO;SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO;HOSPITAL ESPECIALIZADO;HOSPITAL_PÃBLICO;AV RAIMUNDO PEREIRA DE MAGALHAES;5214;PIRITUBA;02938000;136;136;0;0;0;0;0;0;0;0;0;0;0;0;Zona Norte
202301;SUDESTE;SP;SAO PAULO;HOSPITAL ESTADUAL DE VILA ALPINA ORG SOCIAL SECONCI SAO PAUL;SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÃBLICO;AV FRANCISCO FALCONI;1501;VILA ALPINA;03227000;219;219;38;38;20;20;7;7;11;11;0;0;0;0;Zona Leste
202301;SUDESTE;SP;SAO PAULO;HOSP MUN PIRITUBA JOSE SOARES HUNGRIA;SECRETARIA MUNICIPAL DA SAUDE;HOSPITAL GERAL;HOSPITAL_PÃBLICO;MENOTTI LAUDISIO;100;PIRITUBA;02945000;80;72;16;8;16;8;0;0;0;0;0;0;0;0;Zona Norte
202301;SUDESTE;SP;SAO PAULO;HOSP DOM ALVARENGA;ASSOCIACAO BENEFICENTE NOSSA SENHORA DE NAZARE;HOSPITAL GERAL;HOSPITAL_FILANTRÃPICO;NAZARE;1361;IPIRANGA;04263200;149;75;30;0;30;0;0;0;0;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;HOSPITAL SANTA MARCELINA SAO PAULO;CASA DE SAUDE SANTA MARCELINA;HOSPITAL GERAL;HOSPITAL_FILANTRÃPICO;RUA SANTA MARCELINA;177;ITAQUERA;08270070;671;530;117;84;98;65;10;10;9;9;0;0;0;0;Zona Leste
202301;SUDESTE;SP;SAO PAULO;HOSPITAL SAO PAULO HOSPITAL DE ENSINO DA UNIFESP SAO PAULO;SPDM ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;HOSPITAL GERAL;HOSPITAL_FILANTRÃPICO;RUA NAPOLEAO DE BARROS;715;VILA CLEMENTINO;04024002;842;798;117;114;77;74;19;19;17;17;4;4;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;HOSPITAL GERAL DE SAO MATEUS SAO PAULO;SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÃBLICO;RUA ANGELO DE CANDIA;540;SAO MATEUS;03958000;251;251;49;49;24;24;10;10;10;10;5;5;0;0;Zona Leste
202301;SUDESTE;SP;SAO PAULO;HOSPITAL LEFORTE LIBERDADE;HOSPITAL LEFORTE LIBERDADE S A;HOSPITAL GERAL;HOSPITAL_PRIVADO;RUA GALVAO BUENO;257;LIBERDADE;01506000;270;48;48;30;48;30;0;0;0;0;0;0;0;0;Centro
202301;SUDESTE;SP;SAO PAULO;UNIDADE DE GESTAO ASSISTENCIAL II HOSPITAL IPIRANGA SP;SECRETARIA DE ESTADO DA SAUDE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÃBLICO;AVENIDA NAZARE;28;IPIRANGA;04262000;314;314;32;32;22;22;0;0;10;10;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;A C CAMARGO CANCER CENTER;FUNDACAO ANTONIO PRUDENTE;HOSPITAL ESPECIALIZADO;HOSPITAL_FILANTRÃPICO;RUA PROFESSOR ANTONIO PRUDENTE;211;LIBERDADE;01509900;355;209;40;28;30;22;10;6;0;0;0;0;0;0;Centro
202301;SUDESTE;SP;SAO PAULO;CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO;SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÃBLICO;RUA VOLUNTARIOS DA PATRIA;4301;MANDAQUI;02401400;419;419;65;65;47;47;8;8;10;10;0;0;0;0;Zona Norte
202301;SUDESTE;SP;SAO PAULO;IBCC;INSTITUTO BRASILEIRO DE CONTROLE DO CANCER;HOSPITAL ESPECIALIZADO;HOSPITAL_FILANTRÃPICO;AV ALCANTARA MACHADO;2576;MOOCA;03102002;181;95;10;10;10;10;0;0;0;0;0;0;0;0;Zona Leste
202301;SUDESTE;SP;SAO PAULO;HOSPITAL PRESIDENTE;HOSPITAL E MATERNIDADE PRESIDENTE SOCIEDADE SIMPLES;HOSPITAL GERAL;HOSPITAL_PRIVADO;AVENIDA NOVA CANTAREIRA;2398;TUCURUVI;02340000;122;0;20;0;20;0;0;0;0;0;0;0;0;0;Zona Norte
202301;SUDESTE;SP;SAO PAULO;CENTRO INTEGR DE ASS E SAUDE NOSSA SENHORA DE FATIMA;CONGREGACAO DAS IRMAS HOSPITALEIRAS DO SAGRADO CORACAO DE JE;HOSPITAL ESPECIALIZADO;HOSPITAL_FILANTRÃPICO;JORNALISTA PAULO ZINGG;1078;PIRITUBA;05157030;190;0;0;0;0;0;0;0;0;0;0;0;0;0;Zona Oeste
202301;SUDESTE;SP;SAO PAULO;HOSPITAL GERAL SANTA MARCELINA DE ITAIM PAULISTA SAO PAULO;SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÃBLICO;AV MARECHAL TITO;6035;ITAIM PAULISTA;08115100;315;315;36;36;20;20;0;0;16;16;0;0;0;0;Zona Leste
202301;SUDESTE;SP;SAO PAULO;HOSP MUN PROF DR WALDOMIRO DE PAULA;PREFEITURA DO MUNICIPIO DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÃBLICO;RUA AUGUSTO CARLOS BAUMANN;1074;ITAQUERA;08210590;218;179;50;12;40;6;0;0;10;6;0;0;0;0;Zona Leste
202301;SUDESTE;SP;SAO PAULO;ASSOC AACD V CLEMENTINO;ASSOCIACAO DE ASSISTENCIA A CRIANCA DEFICIENTE;HOSPITAL ESPECIALIZADO;HOSPITAL_FILANTRÃPICO;AVN PROF ASCENDINO REIS;724;VIL CLEMENTINO;04027000;87;27;10;4;5;2;5;2;0;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;HOSPITAL GERAL DO GRAJAU PROF LIBER JOHN ALPHONSE DI DIO SP;SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÃBLICO;RUA FRANCISCO OCTAVIO PACCA;180;PARQUE DAS NACOES;04822030;260;254;44;38;24;24;9;8;11;6;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;HOSPITAL E MATERNIDADE LEONOR MENDES DE BARROS SAO PAULO;SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO;HOSPITAL ESPECIALIZADO;HOSPITAL_PÃBLICO;AV CELSO GARCIA;2477;BELENZINHO;03015000;167;167;20;20;6;6;0;0;14;14;0;0;0;0;Zona Leste
202301;SUDESTE;SP;SAO PAULO;HOSP MONUMENTO CEHM;CENTRO DE ESTUDO DO HOSPITAL MONUMENTO;HOSPITAL GERAL;HOSPITAL_FILANTRÃPICO;RUA LIMA E SILVA;985;IPIRANGA;04215020;50;50;0;0;0;0;0;0;0;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;CENTRO DE REFERENCIA E TREINAMENTO DST AIDS SAO PAULO;SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO;HOSPITAL ESPECIALIZADO;HOSPITAL_PÃBLICO;RUA SANTA CRUZ;81;VILA MARIANA;04121000;46;46;0;0;0;0;0;0;0;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO;FUNDACAO FACULDADE DE MEDICINA MEC MPAS;HOSPITAL GERAL;HOSPITAL_FILANTRÃPICO;RUA DR OVIDIO PIRES DE CAMPOS;225;CERQUEIRA CESAR;05403010;1543;1476;227;225;128;128;53;51;40;40;6;6;0;0;Zona Oeste
202301;SUDESTE;SP;SAO PAULO;HOSPITAL E MATERNIDADE METROPOLITANO;AMICO SAUDE LTDA;HOSPITAL GERAL;HOSPITAL_PRIVADO;MARCELINA;441;VILA ROMANA;05044010;88;0;73;0;46;0;9;0;18;0;0;0;0;0;Zona Oeste
202301;SUDESTE;SP;SAO PAULO;CENTRO DE REFERENCIA DA SAUDE DA MULHER SAO PAULO;SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO;HOSPITAL ESPECIALIZADO;HOSPITAL_PÃBLICO;AV RIO BRANCO;1080;CAMPOS ELISEOS;01206001;139;139;7;7;7;7;0;0;0;0;0;0;0;0;Centro
202301;SUDESTE;SP;SAO PAULO;HOSP MUN INFANTIL MENINO JESUS;PREFEITURA DO MUNICIPIO DE SAO PAULO;HOSPITAL ESPECIALIZADO;HOSPITAL_PÃBLICO;RUA DOS INGLESES;258;BELA VISTA;01329000;103;59;20;10;0;0;20;10;0;0;0;0;0;0;Centro
202301;SUDESTE;SP;SAO PAULO;HOSP INDEPENDENCIA;HOSPITAL INDEPENDENCIA ZONA LESTE LTDA;HOSPITAL GERAL;HOSPITAL_PRIVADO;RUA URUCURANA;1;JARDIM PEDRO JOSE NU;08061100;103;0;14;0;10;0;0;0;4;0;0;0;0;0;Zona Leste
202301;SUDESTE;SP;SAO PAULO;HOSPITAL SANTA VIRGINIA;ASSOCIACAO HOSPITALAR FILHAS DE N S DO MONTE CALVARIO;HOSPITAL GERAL;HOSPITAL_FILANTRÃPICO;AVENIDA CELSO GARCIA;2294;BELEM;03014000;93;0;13;0;13;0;0;0;0;0;0;0;0;0;Zona Leste
202301;SUDESTE;SP;SAO PAULO;HOSPITAL AVICCENA;REDE DOR SAO LUIZ S A;HOSPITAL GERAL;HOSPITAL_PRIVADO;PADRE ADELINO;901;IV PARADA;03303000;96;0;28;0;28;0;0;0;0;0;0;0;0;0;Zona Leste
202301;SUDESTE;SP;SAO PAULO;HOSPITAL CANTAREIRA;SPDM ASSOC PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA;HOSPITAL GERAL;HOSPITAL_FILANTRÃPICO;AV NOVA CANTAREIRA;3050;TUCURUVI;02340000;114;100;0;0;0;0;0;0;0;0;0;0;0;0;Zona Norte
202301;SUDESTE;SP;SAO PAULO;HOSPITAL E MATERNIDADE SANTA MARIA CRUZ AZUL;CRUZ AZUL DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_FILANTRÃPICO;LINS DE VASCONCELOS;356;CAMBUCI;01538900;347;1;68;0;50;0;18;0;0;0;0;0;0;0;Centro
202301;SUDESTE;SP;SAO PAULO;UNIDADE REFERENCIADA OSWALDO CRUZ VERGUEIRO;HOSPITAL ALEMAO OSWALDO CRUZ;HOSPITAL GERAL;HOSPITAL_FILANTRÃPICO;R VERGUEIRO;17;LIBERDADE;01504000;232;38;30;10;30;10;0;0;0;0;0;0;0;0;Centro
202301;SUDESTE;SP;SAO PAULO;HOSP DA AERONAUTICA DE SPHASP;COMANDO DA AERONAUTICA;HOSPITAL GERAL;HOSPITAL_PÃBLICO;OLAVO FONTOURA;1400;SANTANA;02012021;58;0;9;0;9;0;0;0;0;0;0;0;0;0;Zona Norte
202301;SUDESTE;SP;SAO PAULO;HOSPITAL E MATERNIDADE SAO MIGUEL;HOSPITAL E MATERNIDADE SAO MIGUEL SA;HOSPITAL GERAL;HOSPITAL_PRIVADO;RUA LUIS PICOLO;11;SAO MIGUEL;08010320;75;0;0;0;0;0;0;0;0;0;0;0;0;0;Zona Leste
202301;SUDESTE;SP;SAO PAULO;DAY HOSPITAL DE ERMELINO MATARAZZO;DAY HOSPITAL DE ERMELINO MATARAZZO SC LTDA;HOSPITAL GERAL;HOSPITAL_PRIVADO;AV ABEL TAVARES;2576;ERMELINO MATARAZZO;03810110;68;0;9;0;9;0;0;0;0;0;0;0;0;0;Zona Leste
202301;SUDESTE;SP;SAO PAULO;HOSPITAL ITAQUERA;GRUPO ITASA LIFE LTDA;HOSPITAL GERAL;HOSPITAL_PRIVADO;RUA JOSE OITICICA FILHO;123;ITAQUERA;08210510;120;0;10;0;10;0;0;0;0;0;0;0;0;0;Zona Leste
202301;SUDESTE;SP;SAO PAULO;HOSP 9 DE JULHO;HOSPITAL 9 DE JULHO SA;HOSPITAL GERAL;HOSPITAL_PRIVADO;RUA PEIXOTO GOMIDE;625;BELA VISTA;01409902;224;0;44;0;44;0;0;0;0;0;0;0;0;0;Centro
202301;SUDESTE;SP;SAO PAULO;HOSPITAL SIRIO LIBANES;SOCIEDADE BENEFICENTE DE SENHORAS HOSPITAL SIRIO LIBANES;HOSPITAL GERAL;HOSPITAL_FILANTRÃPICO;RUA DONA ADMA JAFET;91;CERQUEIRA CESAR;01308050;469;14;102;0;30;0;6;0;0;0;0;0;66;0;Centro
202301;SUDESTE;SP;SAO PAULO;HOSP MUN MAT ESC DR MARIO DE MORAES A SILVA;PREFEITURA DO MUNICIPIO DE SAO PAULO;HOSPITAL ESPECIALIZADO;HOSPITAL_PÃBLICO;AV DEP EMILIO CARLOS;3100;VL NOVA CACHOEIRINHA;02720200;192;192;37;37;7;7;0;0;30;30;0;0;0;0;Zona Norte
202301;SUDESTE;SP;SAO PAULO;HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO;SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÃBLICO;AV MIGUEL ACHIOLE DA FONSECA;135;JARDIM SAO PAULO;08461110;253;249;28;28;20;20;0;0;8;8;0;0;0;0;Zona Leste
202301;SUDESTE;SP;SAO PAULO;HOSPITAL SANTA ISABEL;HOSPITAL SANTA ISABEL;HOSPITAL GERAL;HOSPITAL_FILANTRÃPICO;R DONA VERIDIANA;311;VILA BUARQUE;01238010;103;2;25;0;25;0;0;0;0;0;0;0;0;0;Centro
202301;SUDESTE;SP;SAO PAULO;MATERNIDADE SANTA JOANA;HOSPITAL E MATERNIDADE SANTA JOANA SA;HOSPITAL ESPECIALIZADO;HOSPITAL_PRIVADO;RUA DO PARAISO;432;PARAISO;04103000;388;0;123;0;5;0;0;0;118;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;INST DO CANCER ARNALDO VIEIRA DE CARVALHO;INSTITUTO DO CANCER ARNALDO VIEIRA DE CARVALHO;HOSPITAL ESPECIALIZADO;HOSPITAL_FILANTRÃPICO;DR CESARIO MOTTA JUNIOR;112;VILA BUARQUE;01221020;80;80;8;8;8;8;0;0;0;0;0;0;0;0;Centro
202301;SUDESTE;SP;SAO PAULO;HOSPITAL DA CRIANCA;REDE DOR SAO LUIZ S A;HOSPITAL ESPECIALIZADO;HOSPITAL_PRIVADO;RUA DAS PEROBAS;295;JABAQUARA;04321120;71;0;20;0;20;0;0;0;0;0;0;0;0;0;Zona Sul
202301;SUDESTE;SP;SAO PAULO;HOSP MUN DR CARMINO CARICCHIO;PREFEITURA DO MUNICIPIO DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_PÃBLICO;AV CELSO GARCIA;4815;TATUAPE;03063000;392;385;82;75;58;58;10;7;10;6;4;4;0;0;Zona Leste
202301;SUDESTE;SP;SAO PAULO;HOSPITAL DA CRUZ VERMELHA BRASILEIRA;CRUZ VERMELHA BRASILEIRA FILIAL DO ESTADO DE SAO PAULO;HOSPITAL GERAL;HOSPITAL_FILANTRÃPICO;AVENIDA MOREIRA GUIMARAES;699;INDIANOPOLIS;04074031;40;0;0;0;0;0;0;0;0;0;0;0;0;0;Zona Sul
